index,j,s,p,long_a,long_b,lat_a,lat_b,rad_a,rad_b
1,0,0,1,-19799805,19850055,-5452852,-14974862,66865439,68951812
2,0,0,2,897144,-4954829,3527812,1672790,-11827535,-332538
3,0,0,3,611149,1211027,-1050748,327647,1593179,-1438890
4,0,0,4,-341243,-189585,178690,-292153,-18444,483220
5,0,0,5,129287,-34992,18650,100340,-65977,-85431
6,0,0,6,-38164,30893,-30697,-25823,31174,-6032
7,0,1,-1,20442,-9987,4878,11248,-5794,22161
8,0,1,0,-4063,-5071,226,-64,4601,4032
9,0,1,1,-6016,-3336,2030,-836,-1729,234
10,0,1,2,-3956,3039,69,-604,-415,702
11,0,1,3,-667,3572,-247,-567,239,723
12,0,2,-2,1276,501,-57,1,67,-67
13,0,2,-1,1152,-917,-122,175,1034,-451
14,0,2,0,630,-1277,-49,-164,-129,504
15,1,-1,0,2571,-459,-197,199,480,-231
16,1,-1,1,899,-1449,-25,217,2,-441
17,1,0,-3,-1016,1043,589,-248,-3359,265
18,1,0,-2,-2343,-1012,-269,711,7856,-7832
19,1,0,-1,7042,788,185,193,36,45763
20,1,0,0,1199,-338,315,807,8663,8547
21,1,0,1,418,-67,-130,-43,-809,-769
22,1,0,2,120,-274,5,3,263,-144
23,1,0,3,-60,-159,2,17,-126,32
24,1,0,4,-82,-29,2,5,-35,-16
25,1,1,-3,-36,-20,2,3,-19,-4
26,1,1,-2,-40,7,3,1,-15,8
27,1,1,-1,-14,22,2,-1,-4,12
28,1,1,0,4,13,1,-1,5,6
29,1,1,1,5,2,0,-1,3,1
30,1,1,3,-1,0,0,0,6,-2
31,2,0,-6,2,0,0,-2,2,2
32,2,0,-5,-4,5,2,2,-2,-2
33,2,0,-4,4,-7,-7,0,14,13
34,2,0,-3,14,24,10,-8,-63,13
35,2,0,-2,-49,-34,-3,20,136,-236
36,2,0,-1,163,-48,6,5,273,1065
37,2,0,0,9,24,14,17,251,149
38,2,0,1,-4,1,-2,0,-25,-9
39,2,0,2,-3,1,0,0,9,-2
40,2,0,3,1,3,0,0,-8,7
41,3,0,-2,-3,-1,0,1,2,-10
42,3,0,-1,5,-3,0,0,19,35
43,3,0,0,0,0,1,0,10,2
